Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.1309416625022095,0.12783338375356834,0.13258435150146397,3.254993551823351e-3,2.778900488971233e-3,3.793627743657598e-3
Mesure de la performance des instances de taille 10/Distance d'édition/dist_1,1.0070282587503172e-5,9.857972201565086e-6,1.044425063352863e-5,5.818022448149253e-7,3.008044212903706e-7,8.825818417553499e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_2,5.726392178067956e-6,5.675460606573335e-6,5.783943002942409e-6,1.1853180695897259e-7,9.286358245830788e-8,1.4699064630761924e-7
Mesure de la performance des instances de taille 13/Distance d'édition/dist_naif,27.09992123576937,26.734730223079776,27.2893132103956,0.3450549941101676,0.12476297391405494,0.4373820301312409
Mesure de la performance des instances de taille 13/Distance d'édition/dist_1,1.799868041822331e-5,1.7792686261319868e-5,1.8354885742167563e-5,5.483077304835783e-7,2.8155852446707285e-7,8.359524367421972e-7
Mesure de la performance des instances de taille 13/Distance d'édition/dist_2,9.741375366693495e-6,9.586710491939665e-6,9.980660816521565e-6,3.836342413817477e-7,2.2763888477039406e-7,5.342146974626985e-7
Mesure de la performance des instances de taille 20/Distance d'édition/dist_1,3.940009447187651e-5,3.866734124490145e-5,4.000088975583605e-5,1.6125302448819231e-6,1.3315234385650222e-6,2.0716132945066586e-6
Mesure de la performance des instances de taille 20/Distance d'édition/dist_2,1.9890424464485147e-5,1.9560376510518905e-5,2.020342804260447e-5,7.22751647151775e-7,4.5718428311287047e-7,1.0365613470193333e-6
Mesure de la performance des instances de taille 100/Distance d'édition/dist_1,2.7714033105872126e-3,2.7328461616732526e-3,2.81428956612452e-3,9.62974921431188e-5,7.155847066688056e-5,1.3579780093181013e-4
Mesure de la performance des instances de taille 100/Distance d'édition/dist_2,5.423399869398339e-4,5.31390662565746e-4,5.687402986597105e-4,3.270030696114003e-5,2.1939879037673866e-5,4.4023794640338775e-5
Mesure de la performance des instances de taille 500/Distance d'édition/dist_1,0.15300038522840018,0.1501997372488404,0.1542702356667481,2.18766031623839e-3,6.240270031412365e-4,2.9325939696429673e-3
Mesure de la performance des instances de taille 500/Distance d'édition/dist_2,1.2852784995489927e-2,1.2614732230711658e-2,1.3430477412804015e-2,6.268531990310825e-4,2.299524132291981e-4,9.647936136394414e-4
Mesure de la performance des instances de taille 1000/Distance d'édition/dist_1,1.1714929948540582,1.1540150938735678,1.192364830751103,2.1224788791061135e-2,1.5356209249616939e-2,2.6597936370655224e-2
Mesure de la performance des instances de taille 1000/Distance d'édition/dist_2,5.0204423706163646e-2,4.910760126367677e-2,5.089013713979511e-2,1.0598062861961893e-3,6.009580565821169e-4,1.478165980345512e-3
Mesure de la performance des instances de taille 2000/Distance d'édition/dist_1,9.323339022980235,9.150124720604708,9.462073232003604,0.1696054150039844,6.968972070808377e-2,0.20022124653473652
Mesure de la performance des instances de taille 2000/Distance d'édition/dist_2,0.20735830056234286,0.20086623700141595,0.21299510062423602,9.986571205489174e-3,3.7574530009199664e-3,1.3017632132408448e-2
Mesure de la performance des instances de taille 3000/Distance d'édition/dist_1,32.15940212827066,31.390492587062454,32.58918102554132,0.7630219114716692,0.3766253417024792,0.9001156179259806
Mesure de la performance des instances de taille 3000/Distance d'édition/dist_2,0.4902531751671025,0.4831868423761989,0.4984260530824637,9.631074970962411e-3,7.2401818269624265e-3,1.1179272327806992e-2
Mesure de la performance des instances de taille 5000/Distance d'édition/dist_1,138.41834779481118,135.0372020240005,139.6145354401233,2.5098759298403484,1.0077108735059455,3.2911784851155623
Mesure de la performance des instances de taille 5000/Distance d'édition/dist_2,1.2465643305420901,1.2328631760010467,1.2630772948764388,1.924444915391732e-2,1.3915729996369919e-3,2.4330072949296597e-2
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.15474030915828849,0.151634229279972,0.15678235449530176,4.7689605380698994e-3,3.3018454642749946e-3,6.073134923824628e-3
Mesure de la performance des instances de taille 13/Distance d'édition/dist_naif,30.582257613168924,30.078089751751577,31.072452805334855,0.5788057938966313,0.4723278415352504,0.6661482683551686
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.3973190621593468,0.3954711848507941,0.3996021863151847,4.727067756564442e-3,2.411483239998274e-3,6.209186311834476e-3
Mesure de la performance des instances de taille 13/Distance d'édition/dist_naif,31.48193143410087,30.85240579666485,32.01550763643354,0.9888024838309617,0.3285985680092123,1.0592036161322047
Mesure de la performance des instances de taille 10/Distance d'édition/dist_1,7.426689838927816e-6,7.3970930035306255e-6,7.435229496587139e-6,2.508739311101105e-7,2.3367937994434023e-7,3.077640971388415e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_2,4.283498295444262e-6,4.274801524980822e-6,4.338144986736116e-6,2.1637621777798028e-7,1.797735335095336e-7,2.652091482757625e-7
Mesure de la performance des instances de taille 13/Distance d'édition/dist_1,2.285009322227126e-5,2.256488151590244e-5,2.3063680827376297e-5,1.2209975089933068e-6,7.976794117932984e-7,1.6463960856841425e-6
Mesure de la performance des instances de taille 13/Distance d'édition/dist_2,1.2335175458521064e-5,1.228917267236765e-5,1.2460138817981135e-5,6.046754226072274e-7,5.060046934818005e-7,6.902518963386803e-7
Mesure de la performance des instances de taille 20/Distance d'édition/dist_1,6.214447419779965e-5,6.132620908553411e-5,6.329348511891502e-5,6.707948395029757e-6,3.945085600031242e-6,9.999646147804385e-6
Mesure de la performance des instances de taille 20/Distance d'édition/dist_2,3.1469384312355966e-5,3.106089009516292e-5,3.20488994388146e-5,4.038696804230562e-6,3.545227007239885e-6,4.30572628173207e-6
Mesure de la performance des instances de taille 50/Distance d'édition/dist_1,6.192470274051118e-4,6.144326407412693e-4,6.210759480210927e-4,5.6885707857485106e-5,5.6216130936968494e-5,5.997479081840341e-5
Mesure de la performance des instances de taille 50/Distance d'édition/dist_2,1.9111860546244008e-4,1.8657302693832198e-4,1.9330043211442007e-4,3.315884538045838e-5,1.920991289330236e-5,3.6202454181869526e-5
Mesure de la performance des instances de taille 100/Distance d'édition/dist_1,4.052941670820143e-3,3.9315575689884445e-3,4.191287945367039e-3,7.852375293790411e-4,6.204712983329001e-4,8.263868880962336e-4
Mesure de la performance des instances de taille 100/Distance d'édition/dist_2,7.083644150957672e-4,7.035596484334318e-4,7.178487678095309e-4,3.437435008391548e-5,3.196279907130774e-5,3.953093858912793e-5
Mesure de la performance des instances de taille 500/Distance d'édition/dist_1,0.19183475287958193,0.18609352619393213,0.2010122586029888,1.2781453213777607e-2,4.840871784927385e-3,1.6345925898733495e-2
Mesure de la performance des instances de taille 500/Distance d'édition/dist_2,1.6467557130079136e-2,1.6306823093610638e-2,1.6570122870468263e-2,6.13283441528367e-4,5.235825223331187e-4,7.524868518064252e-4
Mesure de la performance des instances de taille 1000/Distance d'édition/dist_1,1.4518296755007516,1.4341083835000366,1.475355248501728,4.510796074771089e-2,1.572646132726611e-2,5.463225682650412e-2
Mesure de la performance des instances de taille 1000/Distance d'édition/dist_2,6.408695450287202e-2,6.306507114256006e-2,6.445159428575341e-2,1.4975913821971886e-3,1.3163830533462666e-3,1.6132224132215111e-3
Mesure de la performance des instances de taille 2000/Distance d'édition/dist_2,0.25070436227011783,0.24803201522561952,0.25517500131395837,4.537926512339876e-3,3.978687060553114e-3,5.1169686846502084e-3
Mesure de la performance des instances de taille 5000/Distance d'édition/dist_2,1.79825740431473,1.6299103447539285,2.120662747062852,0.33484961370373245,1.9340499918318266e-2,0.3986857546081037
Mesure de la performance des instances de taille 8000/Distance d'édition/dist_2,4.290404886414763,4.240176126915685,4.329330109163493,6.901473604365861e-2,0.0,8.380964978573403e-2
Mesure de la performance des instances de taille 10000/Distance d'édition/dist_2,6.745397998041881,6.641284919169266,6.830271294165868,0.1456315432831289,6.0132356331450865e-2,0.17660742976481925
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.16443762764061073,0.1623266199771747,0.16720722480947373,7.375775635121605e-3,5.963570215465033e-3,8.594482225387926e-3
Mesure de la performance des instances de taille 12/Distance d'édition/dist_naif,5.675096524668031,5.511099169252702,5.855262606629367,0.2809623450000006,0.1953375371692041,0.2966338393253326
